"","title","genres","release_date","release_country","movie_rating","review_rating","movie_run_time","plot","cast","language","filming_locations","budget","lon","lat"
"604","*69 (2016)","Horror| Mystery| Thriller","1-Jul-16","USA",NA,3.9,NA,"Directed by Elke Blasi. With Patrick Joseph Connolly, Laurie Davis, James Gaudioso, Carolyn Kennedy. A group of friends fall victim to tragic events after one of them dials *69 in response to a crank call. Tina, who's finally putting the missing pieces of her life back together after a car accident robbed her of her memory a year prior, uncovers that these events are somehow linked to her past. Now, she must find a way to unlock the truth that is buried deep within in order to put an end to the ...","Patrick Joseph Connolly|Laurie Davis|James Gaudioso|Carolyn Kennedy|Christine Kolenik|Beverly Lauchner|Regina Mahoney|Joseph Miller|Jason Arthur Russo","English","Connecticut, USA",NA,-73.087749,41.6032207
"605","The Black Dahlia Haunting (2012)","Crime| Drama| Horror| Mystery","1-Jul-13","Canada","TV-14",5,"80 min","Directed by Brandon Slagle. With Devanny Pinn, Britt Griffith, Noah Dahl, Alexis Iacono. While investigating the murder of her father by her blind younger brother, a young woman disturbs the vengeful spirit of Elizabeth Short, known in legend as ""The Black Dahlia"".","Devanny Pinn|Britt Griffith|Noah Dahl|Alexis Iacono|Cleve Hall|Brandon Slagle|Jessica Cameron|Sarah Nicklin|Daniel Murawka|Tori Rachael|Patrick W. Henry|Gabrielle Benson|Holly Griffith","English","Los Angeles, California, USA","$2,000",-118.2436849,34.0522342
"606","The Power (2015)","Horror","2015","UK",NA,6.5,NA,"Directed by Paul Hills. With Grace Vallorani, Constance Carter, Valentine Pelka, Jonnie Hurn. Abducted and imprisoned by a Cult, Magda awakens in a filthy cell. Despite hearing distant voices, her screams for help go unanswered. She's a prisoner, seemingly without hope - In time, she befriends another hostage, a girl who provides some comfort.","Grace Vallorani|Constance Carter|Valentine Pelka|Jonnie Hurn|Ian T. Dickinson|Janan Chopra|Rosie Fellner|Jon-Paul Gates|Abigail Hamilton|Earl Ling|Pano Masti|Teddy Deegan|Tyler Meads|Leon Alexander|Fay Angel","English","East End, London, England, UK",NA,-0.088004,51.4895168
"607","Demimonde (2017)","Horror| Mystery| Romance","2017","USA","NOT RATED",NA,NA,"Directed by Dorian Louis. With Dorian Louis, Hunter Kohl, Liam Haynes, Christy Williams. After her husband was mysteriously killed following a séance, a woman returns home and senses she is not alone. Who is watching her and is someone else trying to protect her? Will the memories of her past be able to save her in time?","Dorian Louis|Hunter Kohl|Liam Haynes|Christy Williams|Barry Fisher|Eric Fulcher|Matt Story|Susan Lanigan|Aubrey Brummett|Ronnie Hooks|Sally Jubb|Sonora Morris|Allyson Leigh Jordan","English","Mississippi, USA",NA,-89.3985283,32.3546679
"608","Portrait of a Zombie (2012)","Comedy| Drama| Horror","3-Mar-12","USA",NA,3.6,"89 min","Directed by Bing Bailey. With Patrick Murphy, Geraldine McAlinden, Rory Mullen, Paul O'Bryan. When son, Billy, becomes a zombie the family chooses to take care of him in the home much to the chagrin of the neighbors and the local crime boss.","Patrick Murphy|Geraldine McAlinden|Rory Mullen|Paul O'Bryan|Sonya O'Donoghue|Todd Fletcher|Steven Neeson|Ciaron Davies|Sara Eavan|Gerry Shanahan|Diane Jennings|Neill Fleming|Bernie Fitzgerald|Elga Fox|Eoin Quinn","English","City Centre, Dublin, County Dublin, Ireland","$50,000",-6.2579638,53.3530533
"609","The Night-Time Winds (2017)","Drama| Horror| Thriller","22-Sep-17","USA",NA,NA,"45 min","Directed by Ansel Faraj. With Christopher Pennock, Kelly Erin Decker, Kate Avery, Nathan Wilson. A Psychological Thriller. Estranged sisters reunite. In Glorious Black and White.","Christopher Pennock|Kelly Erin Decker|Kate Avery|Nathan Wilson|Elyse Ashton","English","Riverside, California, USA",NA,-117.3754942,33.9806005
"610","Where Demons Dwell: The Girl in the Cornfield 2 (2017)","Horror| Mystery| Thriller","13-Jan-17","USA",NA,5.6,"140 min","Directed by Ryan Callaway. With Madeline Lupi, Michelle Lulic, Alex Santoleri, Tiffany Browne-Tavarez. Tiffany is hunting for answers after her sister died during an encounter with the mysterious woman in white. When she crosses paths with Adelaide, a young woman whose family seems to be targets of the same entity, she tries to keep the deadly history from repeating itself.","Madeline Lupi|Michelle Lulic|Alex Santoleri|Tiffany Browne-Tavarez|Sami Bray|Hiram Ortiz|Mollie Sperduto|Brittini Schreiber|Hayley Wayne|Kevin Cusicanqui|Carmine Giordano|Melissa Malone|Isabella Mays|Lauren McCann|Robert Nicholson","English","New Jersey, USA",NA,-74.4056612,40.0583238
"611","The Terrible Two (2017)","Horror| Thriller","2017","USA",NA,NA,"84 min","Directed by Billy Lewis. With Donny Boaz, Cari Moskow, Reid Doyle, Devin McGee. This horror/paranormal thriller follows the lives of Albert and Rose Poe over the course of 4 days that happens to include the one year anniversary of their 5 and 6 year old daughters deaths. The day the girls died was their birthdays too. We soon learn there is more to the girls deaths and the house the Poe's thought was their safe haven.","Donny Boaz|Cari Moskow|Reid Doyle|Devin McGee|Tracy McMullan|Shane Callahan|Karen Labbe|Maureen Mountcastle|Eric Johann|Zoe Clarke|Arielle Breslerman|Martyn Woleben|Truma Edgerton|Ariana Baron","English","Wilmington, North Carolina, USA",NA,-77.8868117,34.2103894
"612","Harold's Going Stiff (2011)","Comedy| Horror","7-Aug-12","UK","NOT RATED",5.7,"77 min","Directed by Keith Wright. With Stan Rowe, Sarah Spencer, Andy Pandini, Phil Gascoyne. Harold is suffering from a frightening new disease that is turning him into a zombie. After an experimental new treatment fails, Harold's condition deteriorates and he ends up on the run from a group of violent vigilantes who are out for blood.","Stan Rowe|Sarah Spencer|Andy Pandini|Phil Gascoyne|Lee Thompson|Richard Harrison|Liz Simmons|Michaela Anne Rowe|Roger Bingham|Molly Howe|Michael Etheridge|Richard Atkinson|Daniel Gosling|Jane Hardcastle|Alex Brock","English","Sheffield, South Yorkshire, England, UK",NA,-1.470085,53.381129
"613","Abandoned in the Dark (2014)","Horror| Thriller","8-Nov-14","USA","NOT RATED",5.8,"83 min","Directed by Mike Lordi. With Kane Hodder, Marcin Paluch, Ed Bergtold, Hillary Hamilton. Kane Hodder stars in this anthology film comprised of 4 short horror/suspense stories seamlessly connected to one another through gripping real life conflict and extreme tension.","Kane Hodder|Marcin Paluch|Ed Bergtold|Hillary Hamilton|Andrew Roth|Melia Morgan|Bill Weeden|Stuart Greene|Marci Hopkins|Sean Deblat|Michelle Cammarata|Aimee Theresa|Katie Fabel|Freddie Maas|Frank Lamendola","English","New Jersey, USA",NA,-74.4056612,40.0583238
"614","Morgana (2012)","Horror","3-Aug-12","Mexico","NOT RATED",3.7,"90 min","Directed by Ramón Obón. With Siouzana Melikian, Lilia Aragón, Alejandra Adame, Luis Felipe Tovar. A remote lakeside village hides an old and terrifying secret. One hundred years after the suicide of a woman named Morgana, a newcomer is confronted with the terrifying reality that the lost soul is looking for new blood. This haunting thriller stars Siouzana Melikian, Lilia Aragon, Iran Castillo, Luis Felipe Tovar, Eugenio Becker.","Siouzana Melikian|Lilia Aragón|Alejandra Adame|Luis Felipe Tovar|Irán Castillo|Eugenio Becker|Alejandra Toussaint|David Ostrosky|Ana Julieta Récamier|Abraham Stavans|María Luisa Coronel|Mateo González Oses Obón","Spanish","Mexico City, Distrito Federal, Mexico",NA,-99.133208,19.4326077
"615","Beyond the Grave (2010)","Action| Crime| Horror| Western","13-Feb-15","USA",NA,4.2,"89 min","Directed by Davi de Oliveira Pinheiro. With Rafael Tombini, Álvaro Rosa Costa, Ricardo Seffner, Amanda Lerias. In a devastated post-apocalyptic world where the rules of reality are transformed by magic and madness, a vengeful police officer searches for a possessed serial killer in a battle of the not-so-good versus absolute evil.","Rafael Tombini|Álvaro Rosa Costa|Ricardo Seffner|Amanda Lerias|Luciana Verch|Leandro Lefa|Tatiana Paganella|Adriano Basegio|Marcos Guarani|Felipe Longhi|Isidoro B. Guggiana|Claudio Benevenga|Cassiano Griesang|Daniel Bacchieri|Lindon Satoru Shimizu","Portuguese|Japanese|Guarani","Porto Alegre, Rio Grande do Sul, Brazil",NA,-51.2176584,-30.0346471
"616","Unholy (2015)","Drama| Horror| Thriller","25-Oct-15","UK",NA,5.8,"82 min","Directed by Anthony M. Winson. With Kelly Goudie, Simon Crudgington, Jenn Day, Katie Richmond-Ward. Peter and Margaret Eastwood believe they've purchased their dream home to start their lives together but this house seems to be hiding something dark and terrifying in every corner.","Kelly Goudie|Simon Crudgington|Jenn Day|Katie Richmond-Ward|Carn Truscott|Cora Vanaman|Michael Muyunda|Naomi Long|June Tracy|Penelope Butler|Jas Steven Singh","English","Leicestershire, England, UK",NA,-1.2052126,52.772571
"617","Attack of the Herbals (2011)","Comedy| Horror","4-Sep-12","USA","TV-MA",3.6,"81 min","Directed by David Ryan Keith. With Calum Booth, Steve Worsley, Richard Currie, Liam Matheson. Follows two unlikely heroes who stumble upon a mysterious crate, washed ashore. The locals find that the contents make a rather addictive herbal tea that turns the villagers into crazy zombies.","Calum Booth|Steve Worsley|Richard Currie|Liam Matheson|Lee Hutcheon|Claire McCulloch|Margaret Bramwell|Jimmy Lynch|Alan Fraser|Lindsay Cromar|Dave Thomson|Mary Cox|Daniel Greavey|Dorothy Taylor|Mark Wood","English","Johnshaven, Scotland, UK","£15,000",-2.335959,56.795146
"618","Los muertos (2017)","Horror","1-Sep-17","USA",NA,NA,"90 min","Directed by Alfonso Flores Jr.. With Noel Gugliemi, Dyana Ortelli, Philip Friedman, Natalie Ames. The death of a friend, myth of Dia De Los Muertos (Day Of The Dead), disturbing events and paranormal entities intersect with the lives of five friends in this supernatural horror.","Noel Gugliemi|Dyana Ortelli|Philip Friedman|Natalie Ames|Ronnie Alvarez|Vince Romo|Tania Estrada|Sierra Reyes|Matt Nye|Maxie Santillan Jr.|Jaclyn Michelle Snoeberger|Philip De La Rosa|Daniel Casillas|Bianca Monahan|Bill Ibbs","English","Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA","$100,000",-118.217458,34.038353
"619","Haunted Trailer (2014)","Comedy| Horror","22-Jul-14","USA",NA,4.4,"90 min","Directed by Chuck Norfolk. With Ron Jeremy, Joe Grisaffi, Jeremy James Douglas Norton, Jake Byrd. Two goofy hick brothers (Elvis and Aaron), their crazy redneck Momma and sexy sister (Prissy) must exorcise their mobile home of an ancient demon set free to fulfill the 2012 prophecy, with the help of a low rent TV evangelist named Reverend Wiggems, or the world will end. A Raunchy redneck comedy/horror.","Ron Jeremy|Joe Grisaffi|Jeremy James Douglas Norton|Jake Byrd|Lauren Leal|Steve Joseph|Roxy Vandiver|Nick W. Nicholson|Peyton Cottrell II|Danny Gallehugh|Kasey James|Karen Zombora|Amy Rene LaFavers|Elizabeth Redpath|Georgette Trevino","English","Clear Lake, Texas, USA","$100,000",-95.1327829,29.585736
"620","Entity (2013)","Drama| Horror| Thriller","3-Sep-13","USA",NA,3.6,"107 min","Directed by Mike Yurinko. With Holt Boggs, Brandon Slagle, Nick Mancuso, Frederic Doss. A man deals with the personal tragedy of his family's death by living at the vacation cabin that they last stayed at. He soon discovers he's not alone.","Holt Boggs|Brandon Slagle|Nick Mancuso|Frederic Doss|Emma Waldron|Natalie Makenna|Jena Waldron","English","Lake Ariel, Pennsylvania, USA","$200,000",-75.3834512,41.4536638
"621","Sledge (2014)","Horror","2-Sep-14","USA","NOT RATED",4.6,"75 min","Directed by John B Sovie II, Kristian Hanson. With Dustin Bowman, Rachel Cornell, Tino Faygo, Kristian Hanson. Sledge hits you from the beginning with humor and originality. Opening with Assly's True American Horror television program, the action kicks off instantly with skull crushing deaths from the killer, Adam Lynch. Adam believes he is in a movie and video game that he has created in his head.","Dustin Bowman|Rachel Cornell|Tino Faygo|Kristian Hanson|Mary Hanson|Travis Hanson|Desiree Holmes|Russell Matoes|Troy Miller|Wendy Miller|Stephanie Tupper","English","South Colton, New York, USA",NA,-74.8827778,44.5085798
"622","Marianne (2011)","Drama| Fantasy| Horror| Thriller","3-Jul-13","USA","NOT RATED",4.9,"103 min","Directed by Filip Tegstedt. With Thomas Hedengran, Peter Stormare, Tintin Anderzon, Sandra Larsson. After the death of his beloved wife a man begins to fall apart mentally, having dreadful nightmares and finding his family and career affected. As time goes on, he begins to rapidly slip away.","Thomas Hedengran|Peter Stormare|Tintin Anderzon|Sandra Larsson|Dylan M. Johansson|Viktoria Sätter|Helena Löwenmark|Gudrun Mickelsson|Patrik Andersson|Maria Bergsten|Peter Boija|Jonathan Bonin|Stella Edling|Kerstin Hansson|Tim Netzler","Swedish","Östersund, Jämtlands län, Sweden","SEK 1,000,000",14.6360681,63.1766832
"623","Red Christmas (2014)","Horror","9-Dec-14","USA",NA,6.1,"60 min","Directed by Steve Rudzinski. With Seth Gontkovic, Amie Wrenn, Shawn Shelpman, Steve Rudzinski. I'm Tara, I like killing people! I've been doing it a long time now and realized there might be some folks that want to see what it's like. So I made this movie to show you all of the steps of how to brutally murder a person while never forgetting what the holidays are all about! This year, I'm dreaming of a Red Christmas!","Seth Gontkovic|Amie Wrenn|Shawn Shelpman|Steve Rudzinski","English","Morgan, Pennsylvania, USA",NA,-80.1496297,40.3525392
"624","Psychotic (2012)","Action| Horror| Thriller","3-Mar-15","USA","TV-14",3.9,"80 min","Directed by Johnny Johnson. With Jenna Verdicchio, Steve Hope Wynne, Kristina Dargelyte, Rosie Cochrane. A psychologist is trapped inside a mental institution where all the patients have escaped and are on the rampage.","Jenna Verdicchio|Steve Hope Wynne|Kristina Dargelyte|Rosie Cochrane|David Aldridge|Adam Lewis|Mark Carlisle|Daniel Godward|Tzvet Lazar|Jodyanne Richardson|Rodolfo Coloma|David Alexander|Libby Braidwood|Natalie Bueza|James Gannon","English","Gosport, Hampshire, England, UK","£2,000,000",-1.117547,50.794995
"625","Night People (2015)","Horror| Sci-Fi| Thriller","9-May-16","USA",NA,4.3,"108 min","Directed by Gerard Lough. With Michael Parle, Nigel Brennan, Claire Blennerhassett, Sarah Louise Carney. A pair of professional but mismatched criminals break into a house with a dark past that is about to make its presence felt. Their story soon intertwines with two other sinister tall tales.","Michael Parle|Nigel Brennan|Claire Blennerhassett|Sarah Louise Carney|Aidan O Sullivan|Eoin Leahy|Kieran Kelly|Michael McLaughlin|Philip Doherty|Andrew Norry|Damian Gallagher|Daria Kalista|Derek O'Sullivan|John D. Ruddy|Shane Brohan","English","County Donegal, Ireland","€1,000,000",-8.1040967,54.6548993
"626","Test Group (2015)","Drama| Horror","1-Jan-15","USA",NA,4.8,"163 min","Directed by David B. Goodwin, Ginger Paige, Albert Roberts. With Amy Allyson Oliver, Jared Allman, Krissy Notes, Brendon Earp. An EPIC zombie film that explains HOW the infection starts... raw, gritty indie film by and starring real-life veterans!","Amy Allyson Oliver|Jared Allman|Krissy Notes|Brendon Earp|Ondie Daniel|Jayson Cross|Denise Bailey|Jeffery James Bucchino|James Wojnowski|Cameron Campbell|Chase Wainscott|Catie Heeter|Eric Rick Kline|Robert Jones|Christa Beth Campbell","English","Atlanta, Georgia, USA","$35,000",-84.3879824,33.7489954
"627","She's Allergic to Cats (2016)","Comedy| Horror| Romance","18-Jun-16","USA",NA,6.4,"82 min","Directed by Michael Reich. With Mike Pinkney, Sonja Kinski, Flula Borg, Veronika Dash. A dog groomer in Hollywood aspires to be more than a dog groomer in Hollywood. Michael Pinkney is a man struggling with his lower income lifestyle in the shadow of the film industry. His job is degrading, his home is infested with rats and his mind constantly wanders into a lo-fi dreamscape that mirrors his analog video experiments. Michael's menial routine spirals out of control when he meets ...","Mike Pinkney|Sonja Kinski|Flula Borg|Veronika Dash|Honey Davis|Mike Dazé|Felipe Esparza|Luis Fernandez-Gil|Willis Jackson|Tom Kiesche|Livia Treviño|Mike Zehr","English","Los Angeles, California, USA",NA,-118.2436849,34.0522342
"628","Gehenna: Darkness Unleashed (2015)","Horror","25-Oct-15","USA",NA,NA,"120 min","Directed by Kazarr. With Dave Fairbanks, Marcus Murphy, Lauren Cash, Akiba Robinson. The horror/suspense thriller feature film GEHENNA opens with an intense scene where a large man is running through the dark woods while screaming. As he approaches an abandon old garage out of the fog and darkness an unseen image(Antagonist) ascends from beneath the fog. Within a minute he over powers the large man who desperately try's to escape from being pulled into the darkness. Three days ...","Dave Fairbanks|Marcus Murphy|Lauren Cash|Akiba Robinson|W. Keith Scott|Reese Langlois|Barry Battle|Tasha Nwude|Kazarr|Brilliance Hall|Antwane Carson|Therron Dumas|Marissa Carioscia|Caleb J. Jackson|Tasha Wooday","English","Brandywine, Maryland, USA","$15,000",-76.8477485,38.6967833
"629","Socialistický Zombi Mord (2014)","Horror","25-Apr-14","Slovakia",NA,6,"94 min","Directed by Rastislav Blazek, Peter Cermak, Zuzana Paulini. With Boris Bitukov, Viktor Gschweng, Hanka Harencarova, Peter Levay. Failed Russian experiment gone horribly wrong is brought to Czechoslovakia during the 1968 invasion and forgotten about. Some 15 years later the gas is accidentally released in a Slovak school turning the students into bloodthirsty zombies.","Boris Bitukov|Viktor Gschweng|Hanka Harencarova|Peter Levay|Denisa Rotlingova|Veronika Valentovicova|Tibor Zvonar","Slovak","Slovakia","€20,000",19.699024,48.669026
"630","Aaaah (2014)","Adventure| Horror| Thriller","28-Nov-14","India",NA,5.7,"138 min","Directed by Haresh Narayan, K. Hari Shankar. With Gokulnath, Bobby Simha, Meghna, Bala Saravanan. Three friends meeting on their reunion are being drawn into a bet to prove the presence of ghosts by a rich schoolmate unexpectedly, leading them to a journey to five different places around the world suspected to be haunted.","Gokulnath|Bobby Simha|Meghna|Bala Saravanan|Srijith P.S.|Ashokan|S.S. Thalabathi|Monisha|T. Ramesh|Iqbal|Elaya Prasad|Priya|Hussain Jamal|Gowri Shankar|Nori","Tamil","AVM Studios, Chennai, Tamil Nadu, India",NA,80.2039836,13.0455722
"631","Mohini (2017)","Horror","2017","India",NA,NA,NA,"Directed by R. Madhesh. With Dilyana Bouklieva, Trisha Krishnan, Elena Valdameri, Matt Townsend.","Dilyana Bouklieva|Trisha Krishnan|Elena Valdameri|Matt Townsend|Jackky Bhagnani|Jangiri Madhumitha|Suresh|Shenturan|Ganeshkar|Poornima Bhagiyara","Tamil","Leicester Square, London, England, UK",NA,-0.130845,51.5105486
"632","The Midnight Matinee (2017)","Horror| Mystery| Thriller","19-May-17","USA",NA,6.5,"46 min","Directed by Justin Doescher. With Maggie Tehan, Justin Doescher, Juan-Pablo Veizaga, Shaun Woodland. Welcome ladies and gentlemen to The Midnight Matinee. You will be entertained by five stories of deceit, deception, and of course.......horror. So enter if you dare. And sit back, relax, and enjoy the show.","Maggie Tehan|Justin Doescher|Juan-Pablo Veizaga|Shaun Woodland|Ian Flanders|Melissa Merry|Aggie Binkley|Maggie Binkley|Becky Edwards|Jimmy Edwards|Sophie Edwards|Heather Masters|Jennifer McCormick|Santiago Veizaga","English","Maryland, USA",NA,-76.6412712,39.0457549
"633","House of Whores (2015)","Horror","1-Jul-15","USA",NA,7.5,"55 min","Directed by Paul Arnone, Tom Komisar, Daniel Murphy. With Tom Komisar, Daniel Murphy, Paul Arnone, R.J. Cecott. Three beauties who would do anything for stardom. Three masked maniacs hellbent for kicks and an insatiable lust for young flesh.","Tom Komisar|Daniel Murphy|Paul Arnone|R.J. Cecott|Linda Schrader|Maella Cai Vane|Lindsey McIntire|Nurse Hatchet","English","Winamac, Indiana, USA","$1,000",-86.6030648,41.0514299
"634","Realm of Souls (2013)","Horror","27-Sep-13","USA",NA,4.5,"118 min","Directed by Chase Smith. With Lance Paul, Ella Bardine, Jon Bailey, Chase Smith. Last year, a group of filmmakers set out to investigate 13 of the most haunted locations in Georgia in order to gather footage of the supernatural for use in their next horror film. They would never return... What they unleashed was the evil that lies deep within an ancient site of unholy terror ever-looking for a way to escape. Lead by Chase, their director and owner of the Production Company ...","Lance Paul|Ella Bardine|Jon Bailey|Chase Smith|Jacob Williams|Amber Erwin|Teal Haddock|Zoe Myers|Blake Ivey|Katie Blackburn|Rebecca Thomason|Brian Kurtis|K.J. Bump|Jessica Schmahl|Kate Wasiele","English","Atlanta, Georgia, USA",NA,-84.3879824,33.7489954
"635","The Slayers (2015)","Comedy| Horror","2016","UK",NA,9,"101 min","Directed by John Williams. With Darren McAree, Matthew Sandland, George Newton, Sophie Elsby. Two cult members, Nigel and Job, decide to go on a road trip during their last two weeks on earth. Bucketlist in hand, motorhome fired up, the two head for the mountains of Scotland for a final fortnight filled with girls, skydiving, camping, alcohol and strange men claiming to be vampire slayers... Is this God's plan for Nigel and Job?","Darren McAree|Matthew Sandland|George Newton|Sophie Elsby|Dan Smith|Marnix Van Der Kraan|Pete Bennett|Darren Anstey|Brooklyn Baker|Mark Carter|Jason Conway|Kate Cubley|Colin Dmitri|Tim Edwards|Martin Elliot","English","Burslem, Stoke-on-Trent, Staffordshire, England, UK","£100,000",-2.1967011,53.0457302
"636","Silent Night, Bloody Night 2: Revival (2015)","Horror","15-Mar-15","USA","NOT RATED",3.5,"90 min","Directed by Dustin Ferguson. With Julia Farrell, Luc Bernier, Jennifer Runyon, Pete Lipins. After a death in the family, siblings Angelica and James Zacherly travel to the small town of East Willard on Christmas Eve to pay their respects. They stay at a homely bed and breakfast where they learn the legend of Black Peter, Santa Claus' vengeful brother. But when they find the lost journal of Jeffrey Butler, they discover the town has its own sordid history - one more rooted in reality.","Julia Farrell|Luc Bernier|Jennifer Runyon|Pete Lipins|Jennii Caroline|Jeanne Kern|Rich Kern|Chad Haufschild|Jarad Allen|Breana Mitchell|Jeff Dylan Graham|Mike Crawford|Sarah Moshman|Kia Beason|Rikki Wallace","English","Nebraska, USA",NA,-99.9018131,41.4925374
"637","The Devils Door (2016)","Horror","20-May-16","USA",NA,8.2,NA,"Directed by Gordon Price. With Shawn Biery, Joanna Burke, Billy Obryen Cobb, Ricky D'Alonzo. More mystery and ghoulish behavior from the crew at chapter 11, Detective young is at it again in this follow up to Gordy price's( the Watermen,Tyler Perry's Good Deeds) Directorial debut in 2013 ""Music store Massacre"" Young follows clues to capture who or what is behind a series of brutal murders and finds there is something more going on than your typical run of the mill serial killer","Shawn Biery|Joanna Burke|Billy Obryen Cobb|Ricky D'Alonzo|Kyle Douthy|Leo Jaramillo|Alex Michalos|Gordon Price|Deanna Quintana|DeAnna Garcia Quintana|James Shiels III|Chelsia Simmons|Malik Big Leak Smith|Jenn Sparx|Johnny Trash","English","Virginia, USA","$10,000",-78.6568942,37.4315734
"638","No 46 (2016)","Horror","28-Feb-16","Australia",NA,4.4,NA,"Directed by Ariana Kenny. With Deborah Joyce, Gerard Holland, Sarah Ann Wiles, Jack Marsden. ELISE is a young, fearful woman who escapes her old life to move in with her best friend Miranda across the country following an altercation with a stalker leading to the death of her boyfriend. They find refuge in Malachai's home, a site that saw a serial killer's murder spree several decades earlier. Though not a superstitious person, Elise begins to encounter strange events that begin to test ...","Deborah Joyce|Gerard Holland|Sarah Ann Wiles|Jack Marsden|Eddy Price|Evangeline Alvarez|Therese Antoun|Brooke Beverley|Amelia Buggiere|Winnie Chong|Charles Clarke|Georgina Clarke|Rebecca Clarke|Christopher Collins|Johnathan Leigh Collins","English","Bankstown, Sydney, New South Wales, Australia","AUD 5,000",151.03497,-33.91817
"639","Untitled (2011)","Comedy| Drama| Horror","23-Jan-15","UK",NA,5.2,NA,"Directed by Shaun Troke. With Danny Goldberg, Nikki Harrup, Shaun Troke, Leonora Lim-Moore. A filmmaker, his girlfriend, his female colleague, and their rich Producer are to spend a weekend making a documentary within an isolated haunted cottage in Wales.","Danny Goldberg|Nikki Harrup|Shaun Troke|Leonora Lim-Moore|Holly Kenyon|Steve Purbrick|Paul Fields|Laurence Patrick","English","London, England, UK","£2,000",-0.1277583,51.5073509
"640","Andrey Iskanov's Visions of Suffering: Uroboros (2016)","Horror","2016","Sweden",NA,7.9,NA,"Directed by Andrey Iskanov. With Anastasia Asafova, Harry Bromley Davenport, Tatyana Grehova, Nadejda Gutnikova.","Anastasia Asafova|Harry Bromley Davenport|Tatyana Grehova|Nadejda Gutnikova|Svyatoslav Iliyasov|Andrey Iskanov|Manoush|Victoria Smolajo|Lena Vidal|Mariya Zakharova","Russian","Khabarovsk, Russia",NA,135.1011706,48.5157837
"641","When I Was Alive (2014)","Drama| Horror| Musical| Thriller","31-Jan-14","Brazil",NA,6.4,"108 min","Directed by Marco Dutra. With Antônio Fagundes, Marat Descartes, Sandy, Gilda Nomacce. After losing his marriage and job, Junior moves back to his father's house, where the attractive tenant Bruna is living. The finding of objects that belonged to his dead mother drives Junior into a descent towards madness.","Antônio Fagundes|Marat Descartes|Sandy|Gilda Nomacce|Helena Albergaria|Kiko Bertholini|Tuna Dwek|Rony Koren|Eduardo Gomes|Carlos Albergaria|Marc Libeskind|Lourenço Mutarelli|Lilian Blanc|Caetano Gotardo|Carla Kinzo","Portuguese","São Paulo, Brazil","BRL 1,500,000",-46.6333094,-23.5505199
"642","Scarewaves (2014)","Horror","26-Sep-14","USA","TV-MA",5,"82 min","Directed by Henrique Couto. With Erin R. Ryan, Iabou Windimere, JoAnna Lloyd, Josh Miller. From the director of Babysitter Massacre and Haunted House on Sorority Row comes a shocking new film critics are calling ""fresh and original"" and ""what horror audiences want"" In his final night as a radio host, shock jock Amos Satan spins four spine-tingling tales of terror in this anthology of urban legends inspired by Creepshow and Tales from the Crypt. Scarewaves. Listen if you dare.","Erin R. Ryan|Iabou Windimere|JoAnna Lloyd|Josh Miller|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Titus Young Wolverton|Tara Clark|Rachael Redolfi|Geoff Burkman|Duane West|Eric Widing|Christy Faulkner","English","Dayton, Ohio, USA","$70,000",-84.1916069,39.7589478
"643","Skuggan över Innfyr (2017)","Horror","1-May-17","Sweden",NA,NA,"90 min","Directed by Simo Paulakoski. With Marlene Johnsson, Niklas Eriksson, Eli Cisneros Setterwall, Alice Ringholm Heder.","Marlene Johnsson|Niklas Eriksson|Eli Cisneros Setterwall|Alice Ringholm Heder|Daniel Johansson|Nikolaj Vind Sorber|Fanny Brännvall|Henrik Sjöman|Stefan Askernäs|Johan Bull|Christian De Flon|Anette Halvorsen|Viola Hollestein|Henrik Huber|Rebecca Jacobsson","Swedish","Karlstad, Värmlands län, Sweden",NA,13.5114978,59.4021806
"644","La cripta de las condenadas: Parte II (2012)","Horror","7-Oct-12","Spain",NA,5.8,NA,"Directed by Jesús Franco. With Fata Morgana, Carmen Montes, Eva Neumann, Marta Simoes.","Fata Morgana|Carmen Montes|Eva Neumann|Marta Simoes|María Traven|Olivia Deveraux","Spanish","Málaga, Málaga, Andalucía, Spain",NA,-4.4259962,36.7167456
"645","Dug Up (2013)","Comedy| Horror","24-Oct-13","USA","R",6.6,"84 min","Directed by Dustin Rikert. With Paul McCarthy-Boyington, William Shockley, Greg Travis, Nicole Herold. Chaos takes over a rural town after a trio of residents accidentally conjure a zombie outbreak.","Paul McCarthy-Boyington|William Shockley|Greg Travis|Nicole Herold|Sarra Kaufman|Jeffery Dean|Jordann Beal|Ezra Buzzington|Sheree J. Wilson|Vince Morella","English","South Royalton, Vermont, USA",NA,-72.5213419,43.8205295
"646","Dawn's Early Light (2013)","Horror","4-May-13","USA",NA,7.6,NA,"Directed by Angel Lebon. With Brian James Southard, Christina Collard, Dan Lynn. A down and out soldier is not adjusting well to civilian life and his marriage is on the verge of collapse. When one fateful day the sun changes color and emits an eerie yellow/green light that causes frightening shadow creatures to swarm his home. It is in this day that he must step up and defend his wife and baby girl or die trying.","Brian James Southard|Christina Collard|Dan Lynn","English","Desert Hot Springs, California, USA",NA,-116.5016784,33.961124
